

题目：以下关于班次时长与工作时长的说法正确的是    正确答案：班次时长是固定值，工作时长是护士实际工作时长
题目：加强骨盆底括约肌训练指导老年人先慢慢收缩肛门肌肉10秒然后再慢慢放松间歇10秒训练连续的时间是    正确答案：20~30分钟
题目：老年躯体功能健康史采集中的常见问题不包括    正确答案：行动矫健
题目：刘某男62岁近期准备接受社区医院组织的健康评估请问哪项不是评估的注意事项    正确答案：询问隐私，多多益善
题目：老年护理的主要目标是    正确答案：延缓衰老、增强自我照顾能力、提高生活质量、做好临终关怀
题目：老年人药效学特点描述正确的是    正确答案：对肝脏有损害的药物耐受性下降
题目：关于衰弱非特异性表现的描述最准确的是    正确答案：疲劳、无法解释的体重下降、反复感染
题目：下列哪项不属于老年人正式的社会支持网络中的成员    正确答案：附近邻居
题目：于1987年从护理的角度提出健康促进模式    正确答案：Pender
题目：下列哪项不是老年人日常生活护理的原则    正确答案：尽可能地给予帮助
题目：指导老年人进行收缩和放松盆底肌肉的锻炼以增强控制排尿的能力锻炼一般需坚持的时间是    正确答案：3个月
题目：老年人的躯体化症状最多见的是    正确答案：慢性持续性疼痛
题目：指导丧偶老年人积极面对生活下列哪项不正确    正确答案：以上都不是
题目：高龄老年人是指老年人的年龄    正确答案：≥80岁
题目：关于衰弱诊断的描述不正确的是    正确答案：通常认为FI≥0.08提示该老年人衰弱
题目：老年护理学研究对象是    正确答案：老年人这个特殊的群体
题目：下列哪项不是影响老年人心理变化的因素    正确答案：经济收入减少
题目：关于衰弱的说法不正确的是    正确答案：是老年人因生理储备的下降而导致的抗应激能力减退的特异性状态
题目：老年人常见药物不良反应的表现不包括    正确答案：尿失禁
题目：老年人健康评估应在环境温度适宜的情况下进行最适宜的温度是    正确答案：22~24℃
题目：李某男65岁身体素质良运动后最适宜的心率应在    正确答案：105次/分
题目：对老年人居住环境的评估原则不包括    正确答案：智能化
题目：解释人不可能长生不老或者返老还童的生物学衰老理论是    正确答案：基因理论
题目：老年人维持正常生活的最基本心理条件是    正确答案：人格健全
题目：有关老年人最佳用药时间以下错误的是    正确答案：治疗变异型心绞痛主张饭后用长效钙拮抗剂
题目：以社区为基础提供老年保健体现了老年保健的    正确答案：区域化原则
题目：离退休老年人心理障碍的原因中不包括    正确答案：职业特点
题目：以下关于引起老年人挛缩的常见疾病不正确的是    正确答案：糖尿病
题目：李某男61岁高级工程师去年退休后自觉体力精力明显下降记忆力衰退两个月来失眠食欲下降活动减少觉得活着没意思自己变成傻子了无用了该患者可能的心理问题是    正确答案：离退休综合征
题目：与老年人沟通时不正确的是    正确答案：为了节省时间，可以在老人吃饭时与其交谈
题目：王某女70岁老人患有冠心病6年冬季经常食补下列哪项不适宜    正确答案：阿胶
题目：关于衰弱患者护理措施的描述不正确的是    正确答案：合理调整膳食结构，应注意适当添加肥肉、动物肝脏等摄入
题目：中国老年人膳食指南2016中指出老年人营养指导与饮食护理主要内容不包括    正确答案：摄入充足的保健品
题目：关于衰弱量表的描述不正确的是    正确答案：符合条目4项或以上即为衰弱
题目：老年人用药期间出现新症状判断是否属药物不良反应的最简单最有效的干预措施是    正确答案：暂停用药
题目：张某女65岁自入院以来一直沉默寡言闷闷不乐有时偷偷流眼泪情绪极度低落则这位老人的主要心理问题可能是    正确答案：孤独
题目：老年人自我保健的核心内容是    正确答案：自我护理
题目：老年期常见的心理问题有    正确答案：以上都是
题目：张某男80岁服用地高辛其药动学变化陈述不正确的是    正确答案：药物在体内分布容积增大
题目：随机衰老理论的主要代表理论是    正确答案：自由基理论
题目：指导老年人共同维护心理健康的措施中不正确的是    正确答案：子女与父辈发生矛盾后要尽量回避以减少争执
题目：自我保健作为预防疾病增进健康提高生活质量延长寿命的主要手段越来越受到广大老年人群的重视下列关于自我保健的内涵不正确的是    正确答案：自我单指老年人个体
题目：老年斑不常见于下列什么部位    正确答案：臀部
题目：下列关于老年人谵妄的描述正确的是    正确答案：突然发病，呈波动性
题目：下列哪项说明是维护老年人心理健康的适应原则    正确答案：帮助老人调整个人或改造环境
题目：下列哪项不是用药六大原则    正确答案：半量原则
题目：中国老年人膳食指南2016中指出老年人预防营养缺乏的措施不包括    正确答案：有条件就多摄入营养强化食品
题目：李某因感染服用磺胺类药物治疗护士嘱其多饮水目的是    正确答案：防止在肾脏析出晶体
题目：刘某女70岁丧偶两年独居不爱出门不愿与人交往沉默寡言对外界动向无动于衷有时偷偷流泪睡眠质量差靠催眠药维持该患者可能的心理问题是    正确答案：空巢综合征
题目：关于挛缩护理措施的描述不正确的是    正确答案：主动运动时，患者用力以引起肌肉紧张或轻度疼痛为度，每个动作重复5~8次，4~5次/天
题目：认为人体的衰老是由免疫系统介导的主动的自我破坏的生物学衰老理论是    正确答案：免疫理论
题目：老年人用药评估不包括以下哪项内容    正确答案：营养状况
题目：下列措施中可以预防谵妄发生的是    正确答案：避免跌倒、烫伤等不良事件的发生
题目：老年人的活动注意事项不包括    正确答案：尽可能地参与社会活动
题目：体位变化引起的姿势反射可作为抑制痉挛状态的手段以下说法正确的是    正确答案：从仰卧到俯卧位，可抑制伸肌痉挛
题目：王某男62岁担任单位部门主任的工作近日为迎接上级领导检查压力很大担心工作做不好出现难以人睡易醒王某的主要心理问题是    正确答案：焦虑
题目：护士应认识并尊重老年人特定的生活信念习俗价值观及道德规范等文化特征利用次文化团队和组织等群体的支持和认同促进老年人成功地适应老年生活依据的社会学衰老理论是    正确答案：次文化理论
题目：下列对老年人的健康资料收集最重要的手段是    正确答案：交谈
题目：赵某男因便秘向护士求助咨询护士随即建议其服用果导片护士的这种做法违背以下哪项用药原则    正确答案：先非药物疗法，后药物疗法
题目：老年焦虑防护措施不正确的是    正确答案：早期用药
题目：老年人消化系统易发生哪些衰老性改变    正确答案：以上都是
题目：对于因某些疾病导致活动能力严重受限的老年人以下说法不正确的是    正确答案：认知障碍老年人活动存在较多的安全隐患，因此应限制其活动范围
题目：当老年人的自尊需要得不到满足又不能恰如其分实事求是地分析自己时就容易产生的心理问题是    正确答案：自卑
题目：非随机衰老理论的主要代表理论是    正确答案：基因理论
题目：李护士正在为一名高血压老年患者讲解控制血压的重要性李护士的行为属于护理人员的哪种角色    正确答案：教育者
题目：下列哪项不是老年人内分泌系统的衰老性改变    正确答案：肌纤维萎缩
题目：王某男80岁突发心绞痛5分钟后自行缓解医生给予阿司匹林和阿伐他汀护士交代用药注意事项以下正确的是    正确答案：硝酸甘油随时备用
题目：老年人的身体健康评估不包括    正确答案：社会功能评估
题目：刘某男75岁郁郁寡欢情绪低落持续1个月经常自责反复出现想死的念头给予患者首要的护理措施是    正确答案：安全护理
题目：老年人用药应综合考量以下因素从而找出老年人用药的最佳剂量其中不包适    正确答案：经济状况
题目：关于足下垂的描述不正确的是    正确答案：足与腿呈钝角，保持背屈位，以预防跟腱挛缩
题目：对老年人的性问题护理人员应持有的态度哪项不合理    正确答案：跟年龄没关系，不用刻意去关注老年人的性问题
题目：王护士人户为一位卧床老年人进行压疮护理王护士的行为属于护理人员的哪种角色    正确答案：执业者
题目：孙某女80岁目前用药有乳果糖醋酸泼尼松片丙戊酸钠阿司匹林肠溶片多潘立酮吗丁啉氟桂利嗪西比灵胃立康片共7种药物她违背了下列哪项用药原则    正确答案：用药简单原则
题目：对老年人生命体征描述错误的是    正确答案：测定时先平卧20分钟后测血压，然后再直立位测一次
题目：心主宰人体的生命活动协调脏腑运行血脉心气虚弱血脉运行及神志功能就会受到影响从而加速衰老这属于中医衰老学说的    正确答案：心脏虚衰学说
题目：下列有关老年期食管变化的说法不正确的是    正确答案：吞咽功能下降，食管体部蠕动亢进
题目：老年抑郁症患者最严重而危险的表现是    正确答案：自杀
题目：李某男72岁两个月前确诊肺癌近期发现老人情绪低落失眠有时想哭有自杀念头现需要为患者进行心理健康评估首先采用的方法是    正确答案：汉密顿抑郁量表
题目：关于老年人用药安全的健康指导下列选项错误的是    正确答案：告诉老年人一旦发现忘记服药，应及时补量
题目：在晶状体明显混浊眼底镜检查不能辨明眼底情况时尤为重要的检查是    正确答案：B超检查
题目：刘某男65岁有高血压病史22年突然出现头晕头痛躁动不安测血压170100已通知医生并给予了相应处理此时从患者安全角度考虑护理上应注意    正确答案：防跌倒或坠床
题目：下列哪项不属于老年期呼吸道的退行性变化    正确答案：胸腔前后径减小
题目：张某女68岁两年前丧偶膝下有一女儿在国外定居因无人照顾人住养老院目前老人主要的心理需求是    正确答案：渴望亲情
题目：关于老年性耳聋描述不正确的是    正确答案：呈单耳非对称性
题目：以下哪项不是老年人预防春困的方法    正确答案：多睡觉
题目：可指导护士理解并协助老年人回顾和总结自己一生的心理学衰老理论是    正确答案：人格发展理论
题目：李某男65岁入院诊断为慢性阻塞性肺疾病急性加重住院治疗10天后患者病情缓解拟次日出院依据慢性病轨迹框架出院时患者处于的疾病阶段是    正确答案：逆转阶段
题目：导致老年人孤独的常见原因不包括    正确答案：慢性疾病
题目：有关老年人听力和视力的特点下列描述不正确的是    正确答案：以上都是
题目：关于老年人选药原则用药剂量及剂型下列选项不正确的是    正确答案：先内服、后外用
题目：患者男79岁记忆力减退小便失禁3月余常有跌倒头颅表现为脑室扩大指数03胼胝角改变冠状位显示征腰椎穿刺颅内压为1802家属否认肿瘤外伤史该患者最可能的诊断    正确答案：特发性正常压力脑积水
题目：老年人用药时药物的种类    正确答案：在疗效确定的前提下,用药的种类越少越好
题目：应用年龄和体重计算骨质疏松风险的工具是    正确答案：亚洲人骨质疏松自评筛查工具
题目：一老年人由于长期患病生活不能自理从而感觉到前途无望对外界的人和事物漠不关心此时心理健康主要评定的是    正确答案：认知功能、精神状态、行为是否异常
题目：属于脑卒中病因中血管壁病变的是    正确答案：动脉粥样硬化
题目：对肠外营养描述不正确的是    正确答案：营养素安全,不引起并发症
题目：听感知评估量表    正确答案：言语功能评定
题目：右手骨折患者出现右手垂腕垂指畸形其康复治疗错误的是    正确答案：开始即应进行主动活动的训练,以便早日康复
题目：年龄相关性白内障可分为3种类型哪一项是正确的    正确答案：皮质性、核性后囊下
题目：周边视野计检查用于    正确答案：两者均无
题目：记忆的内在策略    正确答案：谐音记忆法
题目：老年辅助产品的特点    正确答案：个性化&,广泛性&,多样性&,及时性&,适配性
题目：下列与老年性聋相关的因素有    正确答案：糖尿病&,高血压&,遗传&,性别差异&,代谢异常
题目：原发性骨质疏松症疼痛的特点不包括    正确答案：日间疼痛重,夜间和清晨醒来时较轻
题目：关节积液选择    正确答案：超短波
题目：老年康复健康教育原则有    正确答案：科学性、阶段性、程序性、整体性、通俗性
题目：食物中过多摄入能诱发龋齿    正确答案：多糖
题目：激素替代治疗适合于下面哪位病人    正确答案：女性,55岁,真菌性阴道炎患者
题目：角色是指    正确答案：个人在社会上扮演社会期望的行为模式
题目：临终患者情绪波动明显对周围亲属或医护人员有辱骂性行为这属于哪期的心理表现    正确答案：愤怒期
题目：老年人午后体温若比清晨高多少以上就可视为发热    正确答案：1℃
题目：关于老年期内分泌代谢的特点以下叙述错误的是    正确答案：蛋白质分解代谢小于合成代谢
题目：下面哪组因素都与老年人心理变化有关    正确答案：生理功能衰退、社会因素、生活因素、营养缺乏
题目：老龄化指数又称为    正确答案：老少比
题目：阿尔茨海默病的首发症状是    正确答案：记忆障碍
题目：老年人高血压病中部分为单纯收缩期高血压原因是    正确答案：大动脉弹性减退
题目：患者女性68岁右眼渐进性视力减退年期间无明显眼痛眼胀无头痛早常有固定不飘动的眼前黑点现仅能看清眼前手指晃动老人最可能的疾病诊断是    正确答案：老年性白内障
题目：患者女性68岁右眼渐进性视力减退年期间无明显眼痛眼胀无头痛早常有固定不飘动的眼前黑点现仅能看清眼前手指晃动老人主要的护理问题是    正确答案：视力下降、社交障碍、自理缺陷、有受伤的危险、焦虑
题目：患者女性68岁右眼渐进性视力减退年期间无明显眼痛眼胀无头痛早常有固定不飘动的眼前黑点现仅能看清眼前手指晃动老人可能的心理问题是    正确答案：恐惧
题目：患者女性68岁右眼渐进性视力减退年期间无明显眼痛眼胀无头痛早常有固定不飘动的眼前黑点现仅能看清眼前手指晃动根据上述护理诊断予以手术治疗术后对患者和家属的教育是    正确答案：以上都对
题目：老年人使用下列哪种药物不易引起直立性低血压    正确答案：氨基糖苷类抗生素
题目：老年人每天蛋白质的摄入量应达到    正确答案：1.2g
题目：关于脑卒中流行病学特点不正确的是    正确答案：炎热季节发病率高于寒冷季节
题目：长寿水平又称为    正确答案：高龄老人比
题目：老年人眼睛及视力的评估描述正确的是    正确答案：老年人暗适应能力减退
题目：文化的核心要素和评估的主要内容是    正确答案：以上均是
题目：下列有关老年期胰腺的变化叙述不正确的是    正确答案：胰岛素分泌相对增加
题目：尊重临终病人的权利与尊严体现了临终关怀的    正确答案：人道主义原则
题目：围绝经期综合征最常见也最需要干预的情绪状态是    正确答案：焦虑和自我形象紊乱
题目：老年人高血压的临床表现具有下列哪项特征    正确答案：血压波动较大,容易有体位性低血压
题目：下列哪项属于老年人的心理特征    正确答案：自我意识强、情绪多变、担心死亡
题目：患者男性76岁发现口渴多饮消瘦3个月突发昏迷2日血糖30血钠132血钾40尿素氮98结合力183尿糖尿酮体强阳性该患者首选治疗为    正确答案：快速静滴生理盐水十小剂量胰岛素
题目：患者男性76岁发现口渴多饮消瘦3个月突发昏迷2日血糖30血钠132血钾40尿素氮98结合力183尿糖尿酮体强阳性治疗8小时后患者神志渐清血糖降低128血钾32此时可采用的治疗是    正确答案：输5%葡萄糖＋普通胰岛素＋适量钾
题目：患者男性76岁发现口渴多饮消瘦3个月突发昏迷2日血糖30血钠132血钾40尿素氮98结合力183尿糖尿酮体强阳性该患者最可能的诊断是    正确答案：糖尿病酮症酸中毒
题目：患者男性76岁发现口渴多饮消瘦3个月突发昏迷2日血糖30血钠132血钾40尿素氮98结合力183尿糖尿酮体强阳性护士应首先釆取的护理措施是    正确答案：每2小时监测血糖、神志和生命体征
题目：应对社会老龄化世界卫生组织提出的行动纲领是    正确答案：健康老龄化、积极老龄化
题目：健康老人每天食盐的摄入量应不超过    正确答案：6g
题目：老年人情绪纷繁复杂其中最常见也最需要干预的情绪状态是    正确答案：焦虑和抑郁
题目：老年人的胸部特点不正确的是    正确答案：湿性啰音只有在患病情况下才可闻及
题目：老年人服药依从性差的主要原因不包括    正确答案：注重药物疗效
题目：临终护理服务的根本宗旨是    正确答案：提高临终病人的生命质量
题目：老年收缩期高血压的降压目标是    正确答案：收缩压130~140mmHg,舒张压≥65~70mmHg、<90mmHg
题目：对老人进行角色功能评估的方法是    正确答案：开放式问题
题目：老年骨关节炎临床表现描述中哪项不妥    正确答案：症状是关节疼痛
题目：老年人脑血管疾病的特点不包括    正确答案：脑出血发病率增加
题目：女性78岁糖尿病病史30年卧床1年近日自感左足跟部轻度疼痛护士查体时发现老人左足跟部有水疱形成破溃黄色液体流出露出潮湿红润的创面表面有脓液覆盖该情况属于压疮哪一期    正确答案：浅度溃疡期
题目：女性78岁糖尿病病史30年卧床1年近日自感左足跟部轻度疼痛护士查体时发现老人左足跟部有水疱形成破溃黄色液体流出露出潮湿红润的创面表面有脓液覆盖对该老人进行局部护理时应遵循的原则是    正确答案：清洁疮面,促进愈合
题目：女性78岁糖尿病病史30年卧床1年近日自感左足跟部轻度疼痛护士查体时发现老人左足跟部有水疱形成破溃黄色液体流出露出潮湿红润的创面表面有脓液覆盖老人的饮食原则是    正确答案：高蛋白、高维生素
题目：女性78岁糖尿病病史30年卧床1年近日自感左足跟部轻度疼痛护士查体时发现老人左足跟部有水疱形成破溃黄色液体流出露出潮湿红润的创面表面有脓液覆盖对老人按摩皮肤的目的是    正确答案：促进血液循环
题目：2型糖尿病患者最主要的死亡原因是    正确答案：心脑血管意外
题目：老年自我保健的内涵正确的说法是    正确答案：自我保健活动包括学习知识和形成行为机制
题目：脑血栓形成常发生在    正确答案：安静睡眠时
题目：老年人的记忆特点是哪一种记忆衰退明显    正确答案：近期记忆
题目：确定老年人用药剂量时的主要根据不包括    正确答案：经济状况
题目：老年人便秘主要是受的影响    正确答案：各种因素的综合
题目：老年人与成年人无明显差异的检查结果是    正确答案：血钾
题目：与老年性聋无关的疾病因素有    正确答案：骨关节炎
题目：临终前心理活动第一个阶段为    正确答案：不承认阶段
题目：关于生活质量的概念下列说法错误的是    正确答案：生存质量主要测量个体或群体的健康不良程度
题目：张某男78岁2年前出现记忆力减退最初表现为对近期发生的事容易遗忘如刚告诉过的电话号码就忘了最近还出现过几次出门后迷路的现象最严重时不记得自己的老伴的名字生活自理能力明显下降不能自己进餐洗漱等脑检查可见轻度脑萎缩脑室扩大该患者最可能的疾病诊断是什么    正确答案：阿尔茨海默病
题目：张某男78岁2年前出现记忆力减退最初表现为对近期发生的事容易遗忘如刚告诉过的电话号码就忘了最近还出现过几次出门后迷路的现象最严重时不记得自己的老伴的名字生活自理能力明显下降不能自己进餐洗漱等脑检查可见轻度脑萎缩脑室扩大该患者目前主要的护理诊断有哪些    正确答案：记忆受损、有受伤的危险、自我照顾能力受损
题目：张某男78岁2年前出现记忆力减退最初表现为对近期发生的事容易遗忘如刚告诉过的电话号码就忘了最近还出现过几次出门后迷路的现象最严重时不记得自己的老伴的名字生活自理能力明显下降不能自己进餐洗漱等脑检查可见轻度脑萎缩脑室扩大根据上述护理诊断合理的护理措施是    正确答案：日常生活补偿性护理、加强认知训练、设立提醒标志、辅助药物治疗
题目：张某男78岁2年前出现记忆力减退最初表现为对近期发生的事容易遗忘如刚告诉过的电话号码就忘了最近还出现过几次出门后迷路的现象最严重时不记得自己的老伴的名字生活自理能力明显下降不能自己进餐洗漱等脑检查可见轻度脑萎缩脑室扩大护士在与该老人进行沟通时应注意什么    正确答案：适当触摸老人、允许老人适当触摸自己、耐心倾听、适当夸大面部表情
题目：急性心肌梗死起病的先兆症状不包括    正确答案：血压增高,头晕
题目：老年骨质疏松症的护理措施哪项正确    正确答案：注意环境安全,防止跌倒
题目：触摸老人时出现以下哪种情况应予以纠正    正确答案：对老年人的触摸是单向的
题目：有关加强老年人药疗的健康指导错误的是    正确答案：告诉老年人一旦发现忘记服药应及时补服
题目：有关老年保健的重点人群的描述正确的是    正确答案：高龄、独居、精神障碍、丧偶、新近出院的老人
题目：下列哪一量表主要通过对14项日常生活状态来评定被试者的日常生活能力    正确答案：日常生活能力量表
题目：老年人对下列哪种情况记忆力较好    正确答案：听过或看过一段时间的事物
题目：老年人肾老化可发生在下面哪些方面    正确答案：肾小球及肾小管萎缩、肾动脉硬化
题目：患者赵某女性55岁主诉外阴瘙痒性交痛白带增多常伴有下腹及阴道坠胀感瘙痒使人坐卧不安影响睡眠査体白带多为脓性有臭味该患者的初步诊断是    正确答案：老年性阴道炎
题目：患者赵某女性55岁主诉外阴瘙痒性交痛白带增多常伴有下腹及阴道坠胀感瘙痒使人坐卧不安影响睡眠査体白带多为脓性有臭味该患者的护理诊断是    正确答案：皮肤完整性受损、舒适改变焦虑
题目：患者赵某女性55岁主诉外阴瘙痒性交痛白带增多常伴有下腹及阴道坠胀感瘙痒使人坐卧不安影响睡眠査体白带多为脓性有臭味对该患者护理措施正确的是    正确答案：醋酸液冲洗阴道、雌激素软膏涂抹
题目：白某男71岁家人反映老人近期说话习惯明显变化倾向于大声说话经常要求家人重复讲过的话老人最可能的疾病诊断是    正确答案：老年性耳聋
题目：白某男71岁家人反映老人近期说话习惯明显变化倾向于大声说话经常要求家人重复讲过的话老人主要的护理问题是    正确答案：听力下降、社交障碍、知识缺乏、焦虑
题目：白某男71岁家人反映老人近期说话习惯明显变化倾向于大声说话经常要求家人重复讲过的话根据上述护理诊断合理的护理措施是    正确答案：对患者说话语速减慢、语言筒洁、必要时佩戴助听器。
题目：老年人泌尿器官的老化可引起老年人排尿出现什么变化    正确答案：尿频、夜尿增多、尿液渗透压升高、残余尿
题目：老年人呼吸系统老化的描述哪项正确    正确答案：肺泡数量减少、而肺泡腔变大肺泡面积减少、易发生呼气性呼吸困难
题目：关于老人房间的布置错误的是    正确答案：放置鞋垫,以免弄脏地板
题目：关于老年人急性心梗的临床表现描述错误的是    正确答案：多数患者表现为难以忍受的压榨样疼痛,伴大汗、烦躁、濒死感
题目：下列有关老年人感知觉变化描述正确的是    正确答案：老年人经验丰富,知觉的正确性仍然较高
题目：下面哪个是老年期最常见的功能性精神障碍    正确答案：抑郁症
题目：有关头发的保养正确的是    正确答案：先用洗发液洗发,清洗后涂护发素
题目：患者男性67岁咽痒阵发性干咳2年夜间呛咳半年患者2年来经常咽部发痒声音嘶哑阵发性干咳以夜间为明显同时伴胸骨后烧灼感经喉科检査发现咽部及一侧声带充血肿胀胸片示两肺下野纹理增强按慢性咽炎及支气管炎治疗有效但经常复发近半年来症状加重间断发热体温波动在375左右曾多次按肺炎治疗仍时好时犯体格检查双肺可闻及干啰音偶闻湿啰音患者初步诊断为支气管炎肺炎咽炎并治疗有效但为什么时好时犯    正确答案：重症反流性食管炎因反流物反复吸入,导致病情反复
题目：患者男性67岁咽痒阵发性干咳2年夜间呛咳半年患者2年来经常咽部发痒声音嘶哑阵发性干咳以夜间为明显同时伴胸骨后烧灼感经喉科检査发现咽部及一侧声带充血肿胀胸片示两肺下野纹理增强按慢性咽炎及支气管炎治疗有效但经常复发近半年来症状加重间断发热体温波动在375左右曾多次按肺炎治疗仍时好时犯体格检查双肺可闻及干啰音偶闻湿啰音根据所获得的病史资料还需进一步询问患者哪些情况    正确答案：以上都要询问
题目：患者男性67岁咽痒阵发性干咳2年夜间呛咳半年患者2年来经常咽部发痒声音嘶哑阵发性干咳以夜间为明显同时伴胸骨后烧灼感经喉科检査发现咽部及一侧声带充血肿胀胸片示两肺下野纹理增强按慢性咽炎及支气管炎治疗有效但经常复发近半年来症状加重间断发热体温波动在375左右曾多次按肺炎治疗仍时好时犯体格检查双肺可闻及干啰音偶闻湿啰音护士如何进行健康教育    正确答案：以上都要进行
题目：患者王某男65岁排尿困难3余年加重2个月情绪不稳定查体前列腺指诊度肿大质硬压痛十中央沟消失泌尿系超示前列腺大小为646563呈球形突入膀胱双肾输尿管及膀胱未见异常该患者的初步诊断是    正确答案：良性前列腺增生症
题目：患者王某男65岁排尿困难3余年加重2个月情绪不稳定查体前列腺指诊度肿大质硬压痛十中央沟消失泌尿系超示前列腺大小为646563呈球形突入膀胱双肾输尿管及膀胱未见异常该患者的护理诊断是    正确答案：排尿形态异常、焦虑
题目：患者王某男65岁排尿困难3余年加重2个月情绪不稳定查体前列腺指诊度肿大质硬压痛十中央沟消失泌尿系超示前列腺大小为646563呈球形突入膀胱双肾输尿管及膀胱未见异常对该患者护理措施正确的是    正确答案：指导合理饮食与休息、遵医嘱指导用药、讲解疾病相关知识
题目：关于老年人急性心梗有关检查的描述不正确的是    正确答案：心肌坏死标记物中,升高最早的是CK-MB
题目：评估老年人日常生活自理能力的量表    正确答案：ADL
题目：下列食品中对养护头发最有帮助的是    正确答案：芝麻
题目：下列哪项属于老年专科护理人员的角色    正确答案：沟通者、协调者、研究者、教育者、照顾者
题目：老年人呼吸系统生理变化正确的是    正确答案：残气量增多
题目：高尿酸血症患者饮食上最需要注意的是    正确答案：低嘌呤饮食
题目：1988年我国第一个研究死亡的机构是在哪个城市成立的    正确答案：天津
题目：对老人日常生活的护理下列哪项说法是正确的是    正确答案：照顾老人时要最大限度地发挥其残存功能
题目：李某69岁进行健康评估时按照评估的原则下列不正确的是    正确答案：体检时必须准备特殊检查床进行检查
题目：脑衰弱综合征与哪项因素有关    正确答案：以上都有关
题目：老年人良性前列腺增生症简单而重要的诊断方法是    正确答案：直肠指诊
题目：男65岁高血压史8年因紧张劳累突然出现胸骨后压榨性痛伴心悸大汗淋漓面色苍白测血压为180100心率120次分休息片刻后症状缓解该病人须警惕发生了    正确答案：心绞痛
题目：男65岁高血压史8年因紧张劳累突然出现胸骨后压榨性痛伴心悸大汗淋漓面色苍白测血压为180100心率120次分休息片刻后症状缓解为明确诊断下列何种检查最为适宜    正确答案：冠状动脉造影
题目：男65岁高血压史8年因紧张劳累突然出现胸骨后压榨性痛伴心悸大汗淋漓面色苍白测血压为180100心率120次分休息片刻后症状缓解若症状再次发作首选下列哪种药物    正确答案：硝酸异山梨醇酯舌下含服
